Country,Year,Type of event,Total affected,Total Damage
Peru,2005,Storm,1430,0
Peru,2006,Drought,53558,0
Peru,2006,Earthquake,5000,0
Peru,2006,Flood,11167,0
Peru,2006,Storm,747,0
Peru,2007,Earthquake,606389,0
Peru,2007,Flood,36730,0
Peru,2007,Storm,41260,0
Peru,2008,Earthquake,544,0
Peru,2008,Flood,39073,0
Peru,2008,Storm,970,0
Peru,2009,Earthquake,1236,0
Peru,2009,Flood,72575,0
Peru,2009,Storm,940,0
Peru,2010,Flood,86420,0
Peru,2011,Flood,7253,0
Peru,2011,Storm,9571,0
Peru,2012,Earthquake,1175,0
Peru,2012,Flood,158254,10000
Peru,2012,Storm,98,0
Peru,2013,Earthquake,1793,0
Peru,2013,Flood,222117,0
Peru,2013,Storm,6225,0
Sri Lanka,2002,Drought,159967,0
Sri Lanka,2002,Flood,217555,0
Sri Lanka,2002,Storm,1544,0
Sri Lanka,2003,Drought,187424,0
Sri Lanka,2003,Flood,733479,0
Sri Lanka,2003,Storm,930,0
Sri Lanka,2004,Drought,2692319,0
Sri Lanka,2004,Earthquake,970705,0
Sri Lanka,2004,Flood,340068,0
Sri Lanka,2004,Storm,885,0
Sri Lanka,2005,Drought,31497,0
Sri Lanka,2005,Earthquake,0,0
Sri Lanka,2005,Flood,415471,0
Sri Lanka,2005,Storm,4901,0
Sri Lanka,2006,Drought,51904,0
Sri Lanka,2006,Flood,605903,0
Sri Lanka,2006,Storm,38304,0
Sri Lanka,2007,Drought,107789,0
Sri Lanka,2007,Earthquake,65,0
Sri Lanka,2007,Flood,499881,0
Sri Lanka,2007,Storm,40635,0
Sri Lanka,2008,Drought,135292,0
Sri Lanka,2008,Earthquake,0,0
Sri Lanka,2008,Flood,1262526,0
Sri Lanka,2008,Storm,326703,0
Sri Lanka,2009,Drought,235238,0
Sri Lanka,2009,Earthquake,5,0
Sri Lanka,2009,Flood,453429,0
Sri Lanka,2009,Storm,11831,0
Sri Lanka,2010,Drought,13395,0
Sri Lanka,2010,Flood,1164067,0
Sri Lanka,2010,Storm,1745,0
Sri Lanka,2011,Drought,68459,0
Sri Lanka,2011,Earthquake,0,0
Sri Lanka,2011,Flood,724349,0
Sri Lanka,2011,Storm,12797,0
Sri Lanka,2012,Drought,892383,0
Sri Lanka,2012,Flood,161547,0
Sri Lanka,2012,Storm,0,0
Sri Lanka,2013,Drought,78234,0
Sri Lanka,2013,Flood,450635,0
Sri Lanka,2013,Storm,3086,0
Sri Lanka,2014,Drought,1495082,0
Sri Lanka,2014,Flood,1174077,0
Sri Lanka,2014,Storm,5593,0
Sri Lanka,2015,Drought,258096,0
Sri Lanka,2015,Flood,239780,0
Sri Lanka,2015,Storm,470,0
Sri Lanka,2016,Drought,1068794,0
Sri Lanka,2016,Earthquake,2,0
Sri Lanka,2016,Flood,444505,0
Sri Lanka,2016,Storm,4328,0
Sri Lanka,2017,Drought,2876434,0
Sri Lanka,2017,Flood,666244,0
Sri Lanka,2017,Storm,10565,0
Sri Lanka,2018,Drought,925947,0
Sri Lanka,2018,Flood,455729,0
Sri Lanka,2018,Storm,25158,0
Sri Lanka,2019,Drought,935098,0
Sri Lanka,2019,Flood,589320,0
Sri Lanka,2019,Storm,683,0
Vietnam,2005,Storm,98,0
Vietnam,2006,Flood,31675,0
Vietnam,2007,Flood,2388454,0
Vietnam,2007,Storm,405457,0
Vietnam,2008,Flood,209973,0
Yemen,2005,Storm,6,0
Yemen,2007,Flood,43,0
Yemen,2007,Storm,188,0
Yemen,2008,Flood,5534,0
Yemen,2010,Flood,6,0
